club,last_name,first_name,position,base_salary,guaranteed_compensation,year,conference
Vancouver Whitecaps,Abdallah,Aminu,M,46500.0,46500.0,2013,Western
FC Dallas,Acosta,Kellyn,M,46500.0,70500.0,2013,Western
Vancouver Whitecaps,Adekugbe,Samuel,D,46500.0,51500.0,2013,Western
Toronto FC,Agbossoumonde,Gale,D,46500.0,53166.67,2013,Eastern
New England Revolution,Agudelo,Juan,F,145000.0,175000.0,2013,Eastern
Pool,Akpan,Andre,F,67595.0,67595.0,2013,
San Jose Earthquakes,Alas,Jaime,M,90000.0,91250.0,2013,Western
Philadelphia Union,Albright,Chris,D,75000.0,75000.0,2013,Eastern
Vancouver Whitecaps,Alderson,Bryce,M,65000.0,80000.0,2013,Western
Chicago Fire,Alex,,M,110000.0,119950.0,2013,Eastern
Pool,Alexander,Eric,M,70867.5,70867.5,2013,
Portland Timbers,Alhassan,Kalif,M,80000.0,89250.0,2013,Western
Seattle Sounders FC,Alonso,Osvaldo,M,210000.0,210000.0,2013,Western
New England Revolution,Alston,Kevin,D,145000.0,194000.0,2013,Eastern
Chivas USA,Alvarez,Carlos,M,46500.0,81500.0,2013,Western
Real Salt Lake,Alvarez,Yordany,M,46500.0,46500.0,2013,Western
Chicago Fire,Amarikwa,Quincy,F,46500.0,46500.0,2013,Eastern
Chicago Fire,Anangono,Juan Luis,F,120000.0,120000.0,2013,Eastern
Philadelphia Union,Anding,Don,F,35125.0,35125.0,2013,Eastern
Chicago Fire,Anibaba,Jalil,D,91245.0,131245.0,2013,Eastern
Columbus Crew,Anor,Bernardo,M,46500.0,46500.0,2013,Eastern
Chivas USA,Antunez,Daniel,M,65000.0,72500.0,2013,Western
Toronto FC,Aparicio,Manuel,M,35125.0,35125.0,2013,Eastern
,Araujo Jr.,Paulo,F,60000.0,60000.0,2013,
Houston Dynamo,Arena,Anthony,D,35125.0,35125.0,2013,Western
Colorado Rapids,Armstrong,David,M,46500.0,55964.29,2013,Western
Montreal Impact,Arnaud,Davy,M,275000.0,290000.0,2013,Eastern
Columbus Crew,Arrieta,Jairo,F,216000.0,225375.0,2013,Eastern
Houston Dynamo,Ashe,Corey,M,101250.0,105750.0,2013,Western
Chicago Fire,Atouba,Yazid,F,46500.0,51500.0,2013,Eastern
San Jose Earthquakes,Attakora,Nana,D,61665.0,61665.0,2013,Western
Real Salt Lake,Attinella,Jeff,G,46500.0,46500.0,2013,Western
Chivas USA,Avila,Eric,M,100000.0,120000.0,2013,Western
San Jose Earthquakes,Baca,Rafael,M,49500.0,49500.0,2013,Western
FC Dallas,Baladez,Bradlee,F,35125.0,36125.0,2013,Western
Real Salt Lake,Balchan,Rich,D,35125.0,35125.0,2013,Western
San Jose Earthquakes,Ballouchy,Mehdi,M,152006.0,152006.0,2013,Western
Pool,Barklage,Brandon,M,65000.0,71428.54,2013,
New England Revolution,Barnes,Darrius,D,71467.0,72717.0,2013,Eastern
Houston Dynamo,Barnes,Giles,M,175000.0,184187.5,2013,Western
Chicago Fire,Barouch,Orr,F,46500.0,46500.0,2013,Eastern
New England Revolution,Barrett,Chad,F,105000.0,110709.17,2013,Eastern
Columbus Crew,Barson,Chad,D,46500.0,46500.0,2013,Eastern
Seattle Sounders FC,Bates,Will,F,35125.0,35125.0,2013,Western
Real Salt Lake,Beckerman,Kyle,M,300000.0,328750.0,2013,Western
Columbus Crew,Beckie,Drew,D,35125.0,35125.0,2013,Eastern
San Jose Earthquakes,Beitashour,Steven,D,49612.5,49612.5,2013,Western
Toronto FC,Bekker,Kyle,M,46500.0,72750.0,2013,Eastern
Real Salt Lake,Beltran,Anthony,D,166800.0,166800.0,2013,Western
Toronto FC,Bendik,Joe,G,46500.0,46500.0,2013,Eastern
New England Revolution,Bengtson,Jerry,F,132000.0,138840.0,2013,Eastern
FC Dallas,Benitez,Jair,D,90000.0,90000.0,2013,Western
Montreal Impact,Bernardello,Hernan,M,250008.0,250008.0,2013,Eastern
San Jose Earthquakes,Bernardez,Victor,D,100008.0,100008.0,2013,Western
Montreal Impact,Bernier,Patrice,F,143000.0,162333.25,2013,Eastern
Chicago Fire,Berry,Austin,D,63425.0,78425.0,2013,Eastern
Columbus Crew,Berti,Glauber,D,215000.0,263333.33,2013,Eastern
Pool,Besler,Matt,D,180000.0,180000.0,2013,
Pool,Bessone,Federico,D,46500.0,46500.0,2013,
Pool,Bieler,Claudio,F,200000.0,200000.0,2013,
San Jose Earthquakes,Bingham,David,G,78100.0,122475.0,2013,Western
Toronto FC,Bloom,Mark,D,46500.0,46500.0,2013,Eastern
Chivas USA,Bocanegra,Carlos,D,228000.0,261333.33,2013,Western
Chicago Fire,Bone,Corben,M,46500.0,49000.0,2013,Eastern
Houston Dynamo,Boniek Garcia,Oscar,F,130000.0,161250.0,2013,Western
Real Salt Lake,Borchers,Nat,D,200004.0,211972.75,2013,Western
Chivas USA,Borja,Carlos,D,46500.0,46500.0,2013,Western
Houston Dynamo,Boswell,Bobby,D,220000.0,220000.0,2013,Western
Pool,Bover,Ruben,M,35125.0,35125.0,2013,
Chivas USA,Bowen,Tristan,F,125000.0,156363.63,2013,Western
Toronto FC,Braun,Justin,F,112200.0,114700.0,2013,Eastern
Montreal Impact,Brovsky,Jeb,M,80000.0,84000.0,2013,Eastern
Colorado Rapids,Brown,Deshorn,F,65000.0,113000.0,2013,Western
Houston Dynamo,Bruin,Will,F,120000.0,165000.0,2013,Western
Houston Dynamo,Brunner,Eric,D,120000.0,120625.0,2013,Western
Colorado Rapids,Buddle,Edson,F,275000.0,275000.0,2013,Western
Pool,Bunbury,Teal,F,110000.0,208000.0,2013,
Seattle Sounders FC,Burch,Marc,D,75000.0,75000.0,2013,Western
Chivas USA,Burling,Bobby,D,85000.0,88333.33,2013,Western
San Jose Earthquakes,Busch,Jon,G,165000.0,176333.33,2013,Western
Montreal Impact,Bush,Evan,G,46500.0,46500.0,2013,Eastern
Pool,Bustamante,Michael,M,46500.0,46500.0,2013,
Pool,Cahill,Tim,M,3500000.0,3625000.0,2013,
Colorado Rapids,Calderon,Diego,D,50000.0,50000.0,2013,Western
New England Revolution,Caldwell,Scott,M,46500.0,54000.0,2013,Eastern
Toronto FC,Caldwell,Steven,D,79999.98,89999.98,2013,Eastern
Chivas USA,Calvert,Caleb,F,48000.0,55500.0,2013,Western
Montreal Impact,Camara,Hassoun,M,115000.0,126625.0,2013,Eastern
Vancouver Whitecaps,Cannon,Joe,G,180500.0,189916.67,2013,Western
Pool,Carney,David,M,144000.0,167000.0,2013,
Houston Dynamo,Carr,Calen,F,90338.0,94588.0,2013,Western
Houston Dynamo,Carrasco,Servando,M,46500.0,46500.0,2013,Western
Philadelphia Union,Carroll,Brian,M,176400.0,176400.0,2013,Eastern
Colorado Rapids,Cascio,Tony,M,64900.0,98650.0,2013,Western
Philadelphia Union,Casey,Conor,F,175000.0,175000.0,2013,Eastern
Seattle Sounders FC,Caskey,Alex,M,46500.0,46500.0,2013,Western
Pool,Castano,Santiago,G,35125.0,35125.0,2013,
FC Dallas,Castillo,Fabian,F,60000.0,66250.0,2013,Western
Colorado Rapids,Castrillon,Jaime,M,46500.0,46500.0,2013,Western
San Jose Earthquakes,Cato,Cordell,F,48000.0,48000.0,2013,Western
Colorado Rapids,Ceus,Steward,G,60000.0,70333.33,2013,Western
Houston Dynamo,Chabala,Michael,M,55008.0,57508.0,2013,Western
Portland Timbers,Chara,Diego,M,200004.0,243754.0,2013,Western
San Jose Earthquakes,Chavez,Marvin,M,175000.0,175000.0,2013,Western
Houston Dynamo,Ching,Brian,F,50000.0,75000.0,2013,Western
Pool,Christianson,Ian,M,46500.0,46500.0,2013,
Chivas USA,Chueca,Carlo,M,35125.0,35125.0,2013,Western
LA Galaxy,Clark,Colin,M,80000.0,80000.0,2013,Western
Houston Dynamo,Clark,Ricardo,M,274000.0,307750.0,2013,Western
Vancouver Whitecaps,Clarke,Caleb,F,46500.0,46500.0,2013,Western
LA Galaxy,Cochrane,Greg,D,35125.0,35125.0,2013,Western
